School Code,School Name,School Type,Town,Zip,Grade,District Name,District Code,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,TOTAL_Enrollment,First Language Not English,% First Language Not English,English Language Learner,% English Language Learner,Students With Disabilities,% Students With Disabilities,High Needs,% High Needs,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,SAT_Tests Taken,MCAS_10thGrade_Math_SGP,MCAS_10thGrade_Math_Incl. in SGP(#),MCAS_10thGrade_English_SGP,MCAS_10thGrade_English_Incl. in SGP(#),School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Charter School,Public School
2810500,Springfield Central High,Public School,Springfield,1109,"09,10,11,12",Springfield,2810000,683,518,378,452,24,2055,547.0,26.6,258.0,12.6,335.0,16.3,1441.0,70.1,1283.0,62.4,24.1,6.0,51.5,17.0,0.0,0.1,1.1,51.8,48.2,905.0,17.0,1898.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,477.0,82.2,3.8,2.3,2.1,9.6,0.0,435.0,328.0,75.4,0.0,19.8,63.1,17.1,62.5,10.1,5.2,383.0,40.0,349.0,60.0,352.0,9.0,68.0,0,1
2810570,Springfield High School,Public School,Springfield,1108,"09,10,11,12",Springfield,2810000,59,36,13,8,1,117,26.0,22.2,15.0,12.8,46.0,39.3,109.0,93.2,103.0,88.0,25.6,0.0,59.8,12.8,0.0,0.0,1.7,68.4,31.6,78.0,7.7,101.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,69.0,11.6,15.9,8.7,4.3,59.4,0.0,17.0,10.0,58.8,0.0,0.0,100.0,0.0,100.0,0.0,0.0,7.0,50.57507507507508,167.36857142857144,50.83483483483484,166.0625,51.50445103857567,75.01474926253687,0,1
2810530,Springfield High School of Science and Technology,Public School,Springfield,1109,"09,10,11,12",Springfield,2810000,419,351,297,265,34,1366,474.0,34.7,288.0,21.1,294.0,21.5,1148.0,84.0,1010.0,73.9,17.3,2.3,68.4,11.3,0.0,0.1,0.7,58.8,41.2,1013.0,13.1,1322.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,348.0,58.6,6.9,14.9,0.9,18.4,0.3,258.0,140.0,54.3,0.0,12.9,76.4,10.7,73.6,4.3,3.6,178.0,31.0,219.0,40.0,217.0,2.0,63.0,0,1
2810550,Springfield Public Day High School,Public School,Springfield,1151,"09,10,11,12",Springfield,2810000,44,28,25,10,4,111,33.0,29.7,18.0,16.2,111.0,100.0,111.0,100.0,92.0,82.9,23.4,0.0,66.7,8.1,0.0,0.0,1.8,69.4,30.6,125.0,4.9,87.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,23.0,8.7,30.4,0.0,4.3,56.5,0.0,7.0,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,140.24858757062148,50.57507507507508,10.0,50.83483483483484,10.0,51.50445103857567,75.01474926253687,0,1
2810205,The Springfield Renaissance School an Expeditionary Learning School,Public School,Springfield,1104,"06,07,08,09,10,11,12",Springfield,2810000,103,98,91,91,14,713,83.0,11.6,15.0,2.1,113.0,15.8,396.0,55.5,341.0,47.8,25.2,1.4,47.0,25.4,0.0,0.1,0.8,51.6,48.4,355.0,16.1,720.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,98.0,89.8,7.1,0.0,0.0,3.1,0.0,90.0,76.0,84.4,0.0,22.4,48.7,28.9,44.7,22.4,3.9,94.0,71.0,82.0,69.0,83.0,23.0,63.0,0,1
2840505,Stoneham High,Public School,Stoneham,2180,"09,10,11,12",Stoneham,2840000,175,178,155,171,0,679,69.0,10.2,16.0,2.4,84.0,12.4,164.0,24.2,87.0,12.8,2.8,3.5,5.2,86.3,0.1,0.0,2.1,49.3,50.7,400.0,14.3,648.0,12438219.0,66693.0,187.0,31239774.0,2267.6,13776.58,36415577.0,2437.5,14939.72,149.0,94.6,3.4,0.0,0.0,2.0,0.0,160.0,141.0,88.1,0.7,38.3,17.0,44.0,17.0,7.8,22.0,123.0,47.0,127.0,83.0,130.0,76.0,86.0,0,1
2850505,Stoughton High,Public School,Stoughton,2072,"09,10,11,12",Stoughton,2850000,299,282,254,224,2,1061,160.0,15.1,25.0,2.4,131.0,12.3,345.0,32.5,233.0,22.0,22.2,5.5,5.9,64.5,0.0,0.1,1.8,51.8,48.2,672.0,16.5,1049.0,22480956.0,76466.0,294.0,47162400.9,3660.1,12885.55,51575623.36,3815.5,13517.4,253.0,92.9,2.0,0.0,0.0,5.1,0.0,219.0,184.0,84.0,0.0,34.8,29.3,35.9,28.3,16.3,13.0,195.0,48.5,212.0,53.0,213.0,49.0,86.0,0,1
4890505,Sturgis Charter Public School,Charter School,Hyannis,2601,"09,10,11,12",Sturgis Charter Public (District),4890000,217,214,191,182,0,804,18.0,2.2,0.0,0.0,90.0,11.2,183.0,22.8,109.0,13.6,1.7,2.6,4.4,85.2,0.6,0.1,5.3,40.9,59.1,431.0,14.1,802.0,61783731.78285714,74361.47428571428,760.6,169085629.01008573,10029.715428571428,15021.581228571427,193649427.53302857,11312.36885714286,15417.92582857143,200.0,97.5,2.0,0.0,0.0,0.5,0.0,209.0,187.0,89.5,0.0,42.2,16.0,41.7,16.0,11.8,21.4,194.0,68.0,163.0,56.0,162.0,98.0,100.0,1,0
2900510,Sutton High School,Public School,Sutton,1590,"09,10,11,12",Sutton,2900000,103,108,115,100,0,426,2.0,0.5,0.0,0.0,46.0,10.8,65.0,15.3,30.0,7.0,0.2,0.9,1.6,92.5,0.2,0.0,4.5,49.1,50.9,183.0,16.9,437.0,7141611.0,72210.0,99.0,18079182.02,1502.3,12034.34,19123592.64,1540.9,12410.66,112.0,95.5,1.8,0.0,0.9,1.8,0.0,106.0,92.0,86.8,0.0,42.4,7.6,50.0,7.6,18.5,12.0,96.0,53.5,108.0,55.0,107.0,62.0,68.0,0,1
2910505,Swampscott High,Public School,Swampscott,1907,"09,10,11,12",Swampscott,2910000,153,174,162,186,2,677,47.0,6.9,7.0,1.0,83.0,12.3,159.0,23.5,89.0,13.1,4.6,2.1,9.7,81.5,0.0,0.4,1.6,49.2,50.8,308.0,15.4,700.0,14090337.0,75877.0,186.0,31765504.0,2234.9,14213.39,34437869.0,2281.4,15095.06,167.0,94.0,3.6,0.0,0.6,1.8,0.0,149.0,135.0,90.6,0.0,51.9,11.1,37.0,11.1,11.9,11.1,148.0,50.0,150.0,48.5,150.0,75.0,79.0,0,1
