School Code,School Name,School Type,Town,Zip,Grade,District Name,District Code,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,SP_Enrollment,TOTAL_Enrollment,First Language Not English,% First Language Not English,English Language Learner,% English Language Learner,Students With Disabilities,% Students With Disabilities,High Needs,% High Needs,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Charter School,Public School,PPI_met
230305,John Glenn Middle,Public School,Bedford,1730,"06,07,08",Bedford,230000,0,191,207,158,0,556,92.0,16.5,24.0,4.3,95.0,17.1,156.0,28.1,49.0,8.8,5.8,15.5,5.9,69.2,0.0,0.0,3.6,50.2,49.8,419.0,14.5,538.0,17509953.0,79410.0,221.0,39583898.54,2521.6,15697.93,46616267.25,2613.1,17839.45,75.0,56.0,0,1,0
240025,Jabish Middle School,Public School,Belchertown,1007,"07,08",Belchertown,240000,0,0,188,207,0,395,12.0,3.0,1.0,0.3,73.0,18.5,127.0,32.2,76.0,19.2,2.3,1.5,1.5,92.2,0.0,0.3,2.3,51.9,48.1,295.0,15.6,409.0,10785380.0,63183.0,171.0,28806737.23,2349.1,12262.88,31648711.82,2513.4,12591.99,61.0,66.0,0,1,0
250315,Bellingham Memorial School,Public School,Bellingham,2019,"04,05,06,07",Bellingham,250000,188,170,182,0,0,711,32.0,4.5,7.0,1.0,125.0,17.6,218.0,30.7,123.0,17.3,1.7,4.2,3.5,88.9,0.3,0.0,1.4,49.9,50.1,251.0,20.2,732.0,11671237.0,71691.0,163.0,30331546.0,2359.9,12852.89,33532419.0,2536.4,13220.48,55.0,66.0,0,1,0
250510,Keough Memorial Academy,Public School,Bellingham,2019,"07,08,09,10,11,12",Bellingham,250000,0,0,1,2,0,34,0.0,0.0,0.0,0.0,25.0,73.5,29.0,85.3,15.0,44.1,0.0,0.0,11.8,85.3,0.0,0.0,2.9,64.7,32.4,36.0,8.6,40.0,11671237.0,71691.0,163.0,30331546.0,2359.9,12852.89,33532419.0,2536.4,13220.48,52.002849002849004,67.6923076923077,0,1,0
260305,Winthrop L Chenery Middle,Public School,Belmont,2478,"05,06,07,08",Belmont,260000,348,341,343,325,0,1357,289.0,21.3,38.0,2.8,139.0,10.2,279.0,20.6,102.0,7.5,3.5,16.1,4.9,69.3,0.1,0.1,6.0,49.7,50.3,641.0,22.1,1328.0,21190927.0,85241.0,249.0,49380142.96,4224.4,11689.27,56228501.75,4315.8,13028.52,98.0,100.0,0,1,1
270305,Berkley Middle School,Public School,Berkley,2779,"05,06,07,08",Berkley,270000,88,99,106,99,0,392,1.0,0.3,1.0,0.3,71.0,18.1,99.0,25.3,43.0,11.0,1.0,0.8,1.5,94.1,0.0,0.0,2.6,48.0,52.0,172.0,19.3,392.0,4423115.0,72749.0,61.0,10232795.0,850.7,12028.68,11309630.0,859.8,13153.79,38.0,56.0,0,1,0
300305,Briscoe Middle,Public School,Beverly,1915,"06,07,08",Beverly,300000,0,332,349,328,0,1009,31.0,3.1,17.0,1.7,205.0,20.3,379.0,37.6,236.0,23.4,3.0,2.4,9.5,82.2,0.0,0.0,3.0,53.9,46.1,566.0,19.3,980.0,21856518.0,71078.0,308.0,54772903.12,4481.9,12220.91,61663547.12,4675.6,13188.37,69.0,71.0,0,1,0
310310,Locke Middle,Public School,Billerica,1821,"06,07,08",Billerica,310000,0,174,172,190,0,536,30.0,5.6,0.0,0.0,103.0,19.2,146.0,27.2,69.0,12.9,2.2,6.2,3.4,85.4,0.0,0.2,2.6,51.1,48.9,392.0,18.4,600.0,28755591.0,74345.0,387.0,74898453.0,5082.0,14737.99,83776392.0,5427.7,15434.97,54.0,79.0,0,1,1
310305,Marshall Middle School,Public School,Billerica,1821,"06,07,08",Billerica,310000,0,204,215,204,0,623,49.0,7.9,8.0,1.3,120.0,19.3,202.0,32.4,107.0,17.2,3.2,5.5,3.9,85.9,0.2,0.2,1.3,49.6,50.4,333.0,19.2,683.0,28755591.0,74345.0,387.0,74898453.0,5082.0,14737.99,83776392.0,5427.7,15434.97,57.0,83.0,0,1,1
350755,Boston Collaborative High School,Public School,Roslindale,2131,"07,08,09,10,11,12",Boston,350000,0,0,1,7,1,193,76.0,39.4,30.0,15.5,34.0,17.6,149.0,77.2,128.0,66.3,43.0,1.0,39.4,14.5,1.0,0.0,1.0,51.8,48.2,15.0,31.1,259.0,383866184.0,88790.0,4323.0,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,52.002849002849004,67.6923076923077,0,1,0
